D1,"A Course on Integral Equations"
D2,"Attractors for Semigroups and Evolution Equations"
D3,"Automatic Differentiation of Algorithms - Theory, Implementation, and Application"
D4,"Geometrical Aspects of Partial Differential Equations"
D5,"Ideals, Varieties, and Algorithms - An Introduction to Computational Algebraic Geometry and Commutative Algebra"
D6,"Introduction to Hamiltonian Dynamical Systems and the N-Body Problem"
D7,"Knapsack Problems: Algorithms and Computer Implementations"
D8,"Methods of Solving Singular Systems of Ordinary Differential Equations"
D9,"Nonlinear Systems"
D10,"Ordinary Differential Equations"
D11,"Oscillation Theory for Neutral Differential Equations with Delay"
D12,"Oscillation Theory of Delay Differential Equations"
D13,"Pseudodifferential Operators and Nonlinear Partial Differential Equations"
D14,"Sinc Methods for Quadrature and Differential Equations"
D15,"Stability of Stochastic Differential Equations with Respect to Semi-Martingales"
D16,"The Boundary Integral Approach to Static and Dynamic Contact Problems"
D17,"The Double Mellin-Barnes Type Integrals and Their Applications to Convolution Theory"
